Bait,Prey,Condition,SAINT,MaxSAINT,AvgSpec,SpecSum,co-IP validated,Reported,FoldChange
TMEM17,EMC8,Ciliated,0.96,1.0,12,14,,,2.0
TMEM17,CPD,Ciliated,1.0,1.0,56,84,,,2.0
TMEM17,CPNE8,Ciliated,1.0,1.0,11,21,,,2.0
TMEM17,CTNND1,Ciliated,1.0,1.0,60,117,,,2.0
TMEM17,CXADR,Ciliated,1.0,1.0,17,33,,,2.0
TMEM17,CYFIP1,Ciliated,0.87,0.98,16,25,,,2.0
TMEM17,CYP51A1,Ciliated,0.99,1.0,11,14,,,2.0
TMEM17,DDRGK1,Ciliated,1.0,1.0,6,12,,,2.0
TMEM17,DEPDC1B,Ciliated,1.0,1.0,19,31,,,2.0
TMEM17,DHRS7,Ciliated,1.0,1.0,68,114,,,2.0
TMEM17,DLG1,Ciliated,1.0,1.0,75,120,,,2.0
TMEM17,DSC2,Ciliated,0.99,0.99,3,6,,,2.0
TMEM17,DSG2,Ciliated,1.0,1.0,58,74,,,2.0
TMEM17,DVL1,Ciliated,1.0,1.0,6,12,,,2.0
TMEM17,EBAG9,Ciliated,1.0,1.0,12,23,,,2.0
TMEM17,EFNB1,Ciliated,1.0,1.0,16,29,,,2.0
TMEM17,EFNB2,Ciliated,1.0,1.0,19,33,,,2.0
TMEM17,EHBP1,Ciliated,1.0,1.0,8,16,,,2.0
TMEM17,EMD,Ciliated,1.0,1.0,104,172,,,2.0
TMEM17,EPB41L1,Ciliated,1.0,1.0,26,42,,,2.0
TMEM17,EPHA2,Ciliated,1.0,1.0,54,92,,,2.0
TMEM17,EPHB4,Ciliated,0.99,1.0,6,9,,,2.0
TMEM17,EPN1,Ciliated,1.0,1.0,6,12,,,2.0
TMEM17,EPN2,Ciliated,1.0,1.0,6,10,,,2.0
TMEM17,EPS15,Ciliated,1.0,1.0,40,70,,,2.0
TMEM17,ESYT1,Ciliated,1.0,1.0,101,180,,,2.0
TMEM17,ESYT2,Ciliated,0.98,1.0,15,26,,,2.0
TMEM17,EXOC3,Ciliated,1.0,1.0,17,24,,,2.0
TMEM17,FAM129B,Ciliated,1.0,1.0,17,27,,,2.0
TMEM17,FAM171A2,Ciliated,1.0,1.0,18,25,,,2.0
TMEM17,FAM171B,Ciliated,1.0,1.0,14,22,,,2.0
TMEM17,TVP23B,Ciliated,0.93,0.93,2,4,,,2.0
TMEM17,FAM219A,Ciliated,1.0,1.0,4,8,,,2.0
TMEM17,FAM91A1,Ciliated,1.0,1.0,66,100,,,2.0
TMEM17,FERMT2,Ciliated,1.0,1.0,24,37,,,2.0
TMEM17,FLOT2,Ciliated,0.99,1.0,17,24,,,2.0
TMEM17,FLVCR1,Ciliated,1.0,1.0,17,33,,,2.0
TMEM17,FNBP1,Ciliated,1.0,1.0,5,9,,,2.0
TMEM17,FNDC3A,Ciliated,0.93,0.93,2,4,,,2.0
TMEM17,FRS2,Ciliated,1.0,1.0,6,10,,,2.0
TMEM17,FZD5,Ciliated,0.93,0.93,2,4,,,2.0
TMEM17,FZD6,Ciliated,0.93,0.93,2,4,,,2.0
TMEM17,GBAS,Ciliated,1.0,1.0,9,16,,,2.0
TMEM17,GGA1,Ciliated,0.96,0.99,3,5,,,2.0
TMEM17,GGA3,Ciliated,1.0,1.0,12,20,,,2.0
TMEM17,GOLGA5,Ciliated,1.0,1.0,108,197,,,2.0
TMEM17,GOPC,Ciliated,1.0,1.0,24,40,,,2.0
TMEM17,GORAB,Ciliated,0.99,1.0,5,8,,,2.0
TMEM17,GORASP2,Ciliated,1.0,1.0,267,447,,,2.0
TMEM17,GOSR1,Ciliated,1.0,1.0,9,16,,,2.0
TMEM17,GOSR2,Ciliated,1.0,1.0,8,13,,,2.0
TMEM17,GPR107,Ciliated,1.0,1.0,10,17,,,2.0
TMEM17,GPR108,Ciliated,0.93,0.93,2,4,,,2.0
TMEM17,GPR180,Ciliated,0.93,0.93,2,4,,,2.0
TMEM17,GPR89A,Ciliated,1.0,1.0,10,16,,,2.0
TMEM17,HGS,Ciliated,1.0,1.0,18,35,,,2.0
TMEM17,HIP1,Ciliated,1.0,1.0,6,11,,,2.0
TMEM17,HLA-A,Ciliated,0.94,0.97,7,12,,,2.0
TMEM17,HM13,Ciliated,0.86,0.9,13,24,,,2.0
TMEM17,HMOX2,Ciliated,1.0,1.0,15,29,,,2.0
TMEM17,HSPA12A,Ciliated,0.96,1.0,5,7,,,2.0
TMEM17,IGF2R,Ciliated,1.0,1.0,15,21,,,2.0
TMEM17,INSR,Ciliated,1.0,1.0,8,16,,,2.0
TMEM17,IRS4,Ciliated,1.0,1.0,119,229,,,2.0
TMEM17,ITFG3,Ciliated,0.96,1.0,4,6,,,2.0
TMEM17,ITGA6,Ciliated,0.96,1.0,4,6,,,2.0
TMEM17,ITGB1,Ciliated,1.0,1.0,23,31,,,2.0
TMEM17,ITM2B,Ciliated,1.0,1.0,6,11,,,2.0
TMEM17,ITM2C,Ciliated,1.0,1.0,10,15,,,2.0
TMEM17,JAG2,Ciliated,0.99,0.99,3,6,,,2.0
TMEM17,JPH1,Ciliated,1.0,1.0,13,19,,,2.0
TMEM17,JUP,Ciliated,1.0,1.0,39,53,,,2.0
TMEM17,EMC1,Ciliated,1.0,1.0,39,69,,,2.0
TMEM17,KIAA0319L,Ciliated,1.0,1.0,23,34,,,2.0
TMEM17,PALD1,Ciliated,1.0,1.0,27,44,,,2.0
TMEM17,KIAA1715,Ciliated,1.0,1.0,10,15,,,2.0
TMEM17,KIRREL,Ciliated,1.0,1.0,17,29,,,2.0
TMEM17,LBR,Ciliated,1.0,1.0,110,204,,,2.0
TMEM17,LEMD3,Ciliated,1.0,1.0,94,174,,,2.0
TMEM17,LIN7C,Ciliated,0.93,0.93,2,4,,,2.0
TMEM17,LLGL1,Ciliated,1.0,1.0,11,15,,,2.0
TMEM17,LMAN1,Ciliated,1.0,1.0,37,51,,,2.0
TMEM17,LNPEP,Ciliated,1.0,1.0,35,55,,,2.0
TMEM17,LOC100294412,Ciliated,0.96,1.0,4,6,,,2.0
TMEM17,ADGRL2,Ciliated,1.0,1.0,22,35,,,2.0
TMEM17,LRBA,Ciliated,1.0,1.0,153,273,,,2.0
TMEM17,LRP6,Ciliated,0.99,1.0,9,12,,,2.0
TMEM17,LRP8,Ciliated,1.0,1.0,8,13,,,2.0
TMEM17,LSR,Ciliated,1.0,1.0,30,47,,,2.0
TMEM17,LYN,Ciliated,0.96,1.0,4,6,,,2.0
TMEM17,LYSMD3,Ciliated,0.96,0.99,3,5,,,2.0
TMEM17,MARCKSL1,Ciliated,0.99,0.99,3,6,,,2.0
TMEM17,MARK2,Ciliated,1.0,1.0,34,51,,,2.0
TMEM17,MARK3,Ciliated,1.0,1.0,26,37,,,2.0
TMEM17,MARVELD2,Ciliated,1.0,1.0,14,27,,,2.0
TMEM17,MB21D2,Ciliated,1.0,1.0,9,15,,,2.0
TMEM17,MCAM,Ciliated,1.0,1.0,12,20,,,2.0
TMEM17,MFAP3,Ciliated,0.99,1.0,4,7,,,2.0
TMEM17,MKS1,Ciliated,1.0,1.0,14,21,,,2.0
TMEM17,MMGT1,Ciliated,1.0,1.0,9,17,,,2.0
TMEM17,MOSPD2,Ciliated,1.0,1.0,6,11,,,2.0
TMEM17,MPP1,Ciliated,0.96,1.0,4,6,,,2.0
TMEM17,MPP7,Ciliated,1.0,1.0,7,14,,,2.0
TMEM17,MPZL1,Ciliated,0.96,0.99,3,5,,,2.0
TMEM17,MTMR6,Ciliated,0.99,1.0,8,11,,,2.0
TMEM17,NBEA,Ciliated,1.0,1.0,13,25,,,2.0
TMEM17,NDRG1,Ciliated,1.0,1.0,18,35,,,2.0
TMEM17,NDUFS8,Ciliated,0.96,0.99,3,5,,,2.0
TMEM17,NETO2,Ciliated,0.99,1.0,7,10,,,2.0
TMEM17,NOTCH1,Ciliated,0.99,1.0,7,10,,,2.0
TMEM17,NOTCH2,Ciliated,0.95,0.98,80,135,,,2.0
TMEM17,NSDHL,Ciliated,0.99,1.0,11,20,,,2.0
TMEM17,NUMB,Ciliated,1.0,1.0,27,46,,,2.0
TMEM17,NUP155,Ciliated,0.99,1.0,13,23,,,2.0
TMEM17,OCLN,Ciliated,1.0,1.0,58,112,,,2.0
TMEM17,OCRL,Ciliated,1.0,1.0,12,17,,,2.0
TMEM17,OSBP,Ciliated,0.93,0.93,2,4,,,2.0
TMEM17,OSBPL11,Ciliated,1.0,1.0,17,26,,,2.0
TMEM17,OSBPL8,Ciliated,1.0,1.0,25,46,,,2.0
TMEM17,PACSIN2,Ciliated,1.0,1.0,24,42,,,2.0
TMEM17,PAK4,Ciliated,0.99,1.0,13,23,,,2.0
TMEM17,PALM,Ciliated,0.99,1.0,11,14,,,2.0
TMEM17,PANX1,Ciliated,1.0,1.0,9,17,,,2.0
TMEM17,PCDH7,Ciliated,0.93,0.93,2,4,,,2.0
TMEM17,PDXDC1,Ciliated,1.0,1.0,57,105,,,2.0
TMEM17,PDZD11,Ciliated,0.99,1.0,8,11,,,2.0
TMEM17,PDZD8,Ciliated,1.0,1.0,7,11,,,2.0
TMEM17,PGRMC2,Ciliated,1.0,1.0,50,83,,,2.0
TMEM17,PHACTR4,Ciliated,1.0,1.0,21,38,,,2.0
TMEM17,PKP4,Ciliated,1.0,1.0,11,21,,,2.0
TMEM17,PLD3,Ciliated,1.0,1.0,14,26,,,2.0
TMEM17,PLEKHA1,Ciliated,1.0,1.0,17,29,,,2.0
TMEM17,PLEKHA5,Ciliated,1.0,1.0,37,58,,,2.0
TMEM17,PPFIBP1,Ciliated,0.99,1.0,6,9,,,2.0
TMEM17,PREB,Ciliated,1.0,1.0,41,81,,,2.0
TMEM17,PRKCI,Ciliated,0.99,1.0,5,8,,,2.0
TMEM17,PTK7,Ciliated,0.96,0.99,3,5,,,2.0
TMEM17,PTPN1,Ciliated,1.0,1.0,28,48,,,2.0
TMEM17,PTPN2,Ciliated,1.0,1.0,6,11,,,2.0
TMEM17,PVRL2,Ciliated,1.0,1.0,24,44,,,2.0
TMEM17,RAB11FIP5,Ciliated,1.0,1.0,7,11,,,2.0
TMEM17,RAB23,Ciliated,0.96,0.99,3,5,,,2.0
TMEM17,RAB7A,Ciliated,0.97,1.0,22,32,,,2.0
TMEM17,RABL3,Ciliated,1.0,1.0,22,37,,,2.0
TMEM17,RELL1,Ciliated,1.0,1.0,12,22,,,2.0
TMEM17,RER1,Ciliated,0.98,1.0,9,16,,,2.0
TMEM17,RHBDD2,Ciliated,1.0,1.0,4,8,,,2.0
TMEM17,RHBDD3,Ciliated,0.99,1.0,4,7,,,2.0
TMEM17,ROR1,Ciliated,1.0,1.0,9,18,,,2.0
TMEM17,ROR2,Ciliated,1.0,1.0,28,39,,,2.0
TMEM17,RPF2,Ciliated,0.93,0.93,2,4,,,2.0
TMEM17,SCAMP1,Ciliated,1.0,1.0,68,124,,,2.0
TMEM17,SCAMP2,Ciliated,0.99,1.0,5,8,,,2.0
TMEM17,SCAMP3,Ciliated,1.0,1.0,28,54,,,2.0
TMEM17,SCAMP4,Ciliated,0.93,0.93,2,4,,,2.0
TMEM17,SCARB1,Ciliated,1.0,1.0,5,9,,,2.0
TMEM17,SCFD1,Ciliated,1.0,1.0,29,52,,,2.0
TMEM17,SCRIB,Ciliated,1.0,1.0,34,46,,,2.0
TMEM17,SCYL1,Ciliated,0.93,0.93,2,4,,,2.0
TMEM17,SCYL2,Ciliated,1.0,1.0,16,31,,,2.0
TMEM17,SCYL3,Ciliated,1.0,1.0,32,47,,,2.0
TMEM17,SEC11A,Ciliated,0.96,1.0,5,7,,,2.0
TMEM17,SEC22B,Ciliated,1.0,1.0,32,57,,,2.0
TMEM17,SEC23A,Ciliated,1.0,1.0,69,122,,,2.0
TMEM17,SEC23B,Ciliated,1.0,1.0,74,145,,,2.0
TMEM17,SEC23IP,Ciliated,1.0,1.0,50,96,,,2.0
TMEM17,SEC24A,Ciliated,1.0,1.0,67,129,,,2.0
TMEM17,SEC24B,Ciliated,1.0,1.0,96,189,,,2.0
TMEM17,SEC31A,Ciliated,1.0,1.0,20,40,,,2.0
TMEM17,SEC63,Ciliated,0.96,1.0,4,6,,,2.0
TMEM17,SEMA4C,Ciliated,1.0,1.0,19,28,,,2.0
TMEM17,SEMA6A,Ciliated,0.99,1.0,6,9,,,2.0
TMEM17,SENP2,Ciliated,1.0,1.0,7,11,,,2.0
TMEM17,SHISA2,Ciliated,1.0,1.0,4,8,,,2.0
TMEM17,SLC12A2,Ciliated,1.0,1.0,106,210,,,2.0
TMEM17,SLC12A4,Ciliated,1.0,1.0,25,49,,,2.0
TMEM17,SLC12A6,Ciliated,1.0,1.0,17,30,,,2.0
TMEM17,SLC12A7,Ciliated,1.0,1.0,24,39,,,2.0
TMEM17,SLC19A1,Ciliated,1.0,1.0,28,47,,,2.0
TMEM17,SLC1A3,Ciliated,1.0,1.0,13,19,,,2.0
TMEM17,SLC1A4,Ciliated,1.0,1.0,13,23,,,2.0
TMEM17,SLC1A5,Ciliated,1.0,1.0,348,604,,,2.0
TMEM17,SLC20A1,Ciliated,1.0,1.0,10,16,,,2.0
TMEM17,SLC20A2,Ciliated,1.0,1.0,19,34,,,2.0
TMEM17,SLC29A1,Ciliated,1.0,1.0,26,47,,,2.0
TMEM17,SLC30A1,Ciliated,1.0,1.0,15,30,,,2.0
TMEM17,SLC30A5,Ciliated,1.0,1.0,23,43,,,2.0
TMEM17,SLC30A6,Ciliated,1.0,1.0,30,50,,,2.0
TMEM17,SLC33A1,Ciliated,0.99,1.0,5,8,,,2.0
TMEM17,SLC35B3,Ciliated,0.93,0.93,2,4,,,2.0
TMEM17,SLC35F2,Ciliated,1.0,1.0,13,25,,,2.0
TMEM17,SLC38A1,Ciliated,1.0,1.0,21,37,,,2.0
TMEM17,SLC38A2,Ciliated,1.0,1.0,12,23,,,2.0
TMEM17,SLC39A10,Ciliated,1.0,1.0,33,55,,,2.0
TMEM17,SLC39A14,Ciliated,1.0,1.0,34,59,,,2.0
TMEM17,SLC39A6,Ciliated,1.0,1.0,10,17,,,2.0
TMEM17,SLC3A2,Ciliated,1.0,1.0,133,221,,,2.0
TMEM17,SLC4A7,Ciliated,1.0,1.0,82,144,,,2.0
TMEM17,SLC5A3,Ciliated,1.0,1.0,7,14,,,2.0
TMEM17,SLC5A6,Ciliated,0.96,1.0,4,6,,,2.0
TMEM17,SLC6A15,Ciliated,1.0,1.0,55,99,,,2.0
TMEM17,SLC6A6,Ciliated,0.99,1.0,4,7,,,2.0
TMEM17,SLC6A8,Ciliated,1.0,1.0,77,135,,,2.0
TMEM17,SLC6A9,Ciliated,1.0,1.0,5,9,,,2.0
TMEM17,SLC7A1,Ciliated,1.0,1.0,7,13,,,2.0
TMEM17,SLC7A11,Ciliated,0.96,0.99,3,5,,,2.0
TMEM17,SLC7A2,Ciliated,1.0,1.0,22,42,,,2.0
TMEM17,SLC7A5,Ciliated,1.0,1.0,13,25,,,2.0
TMEM17,SLC9A1,Ciliated,0.96,1.0,4,6,,,2.0
TMEM17,SLCO4A1,Ciliated,1.0,1.0,10,16,,,2.0
TMEM17,SMAP2,Ciliated,1.0,1.0,13,19,,,2.0
TMEM17,SMCR8,Ciliated,1.0,1.0,5,10,,,2.0
TMEM17,SMPD4,Ciliated,1.0,1.0,10,19,,,2.0
TMEM17,SNAP23,Ciliated,1.0,1.0,33,65,,,2.0
TMEM17,SNAP47,Ciliated,1.0,1.0,14,19,,,2.0
TMEM17,SNX2,Ciliated,0.93,0.97,18,30,,,2.0
TMEM17,SNX3,Ciliated,1.0,1.0,6,12,,,2.0
TMEM17,SOAT1,Ciliated,0.96,1.0,6,8,,,2.0
TMEM17,SPCS3,Ciliated,0.99,1.0,5,8,,,2.0
TMEM17,SPRY4,Ciliated,1.0,1.0,9,16,,,2.0
TMEM17,SQSTM1,Ciliated,0.98,0.99,65,125,,,2.0
TMEM17,SRPR,Ciliated,1.0,1.0,17,30,,,2.0
TMEM17,STAM,Ciliated,1.0,1.0,15,27,,,2.0
TMEM17,STAM2,Ciliated,1.0,1.0,9,17,,,2.0
TMEM17,STEAP3,Ciliated,1.0,1.0,21,34,,,2.0
TMEM17,STIM1,Ciliated,1.0,1.0,11,16,,,2.0
TMEM17,STOM,Ciliated,1.0,1.0,6,12,,,2.0
TMEM17,STX10,Ciliated,1.0,1.0,22,44,,,2.0
TMEM17,STX12,Ciliated,1.0,1.0,18,32,,,2.0
TMEM17,STX16,Ciliated,0.96,1.0,7,9,,,2.0
TMEM17,STX5,Ciliated,1.0,1.0,41,80,,,2.0
TMEM17,STX6,Ciliated,1.0,1.0,10,17,,,2.0
TMEM17,STX7,Ciliated,1.0,1.0,18,30,,,2.0
TMEM17,STX8,Ciliated,0.99,1.0,9,12,,,2.0
TMEM17,TBC1D22B,Ciliated,1.0,1.0,9,18,,,2.0
TMEM17,TBC1D5,Ciliated,1.0,1.0,9,17,,,2.0
TMEM17,TFG,Ciliated,0.96,1.0,4,6,,,2.0
TMEM17,TFRC,Ciliated,1.0,1.0,46,75,,,2.0
TMEM17,EMC3,Ciliated,1.0,1.0,14,24,,,2.0
TMEM17,TMEM115,Ciliated,1.0,1.0,11,19,,,2.0
TMEM17,TMEM138,Ciliated,0.96,1.0,4,6,,,2.0
TMEM17,TMEM199,Ciliated,1.0,1.0,12,18,,,2.0
TMEM17,TMEM209,Ciliated,1.0,1.0,10,19,,,2.0
TMEM17,TMEM237,Ciliated,1.0,1.0,23,40,,,2.0
TMEM17,TMEM30A,Ciliated,0.96,1.0,4,6,,,2.0
TMEM17,NDC1,Ciliated,1.0,1.0,14,26,,,2.0
TMEM17,TMEM51,Ciliated,1.0,1.0,9,15,,,2.0
TMEM17,TMEM87A,Ciliated,1.0,1.0,24,43,,,2.0
TMEM17,TMEM9,Ciliated,1.0,1.0,13,26,,,2.0
TMEM17,TMX1,Ciliated,1.0,1.0,9,16,,,2.0
TMEM17,TNFRSF10B,Ciliated,0.96,1.0,4,6,,,2.0
TMEM17,TNIK,Ciliated,1.0,1.0,6,11,,,2.0
TMEM17,TOLLIP,Ciliated,1.0,1.0,6,10,,,2.0
TMEM17,TOR1AIP1,Ciliated,1.0,1.0,27,52,,,2.0
TMEM17,TRIM13,Ciliated,1.0,1.0,11,20,,,2.0
TMEM17,EMC2,Ciliated,1.0,1.0,20,38,,,2.0
TMEM17,UBE2J1,Ciliated,1.0,1.0,12,21,,,2.0
TMEM17,UBIAD1,Ciliated,1.0,1.0,8,13,,,2.0
TMEM17,UBXN4,Ciliated,1.0,1.0,20,32,,,2.0
TMEM17,UNC5B,Ciliated,1.0,1.0,21,39,,,2.0
TMEM17,USO1,Ciliated,1.0,1.0,18,31,,,2.0
TMEM17,USP6NL,Ciliated,0.99,0.99,3,6,,,2.0
TMEM17,VAMP2,Ciliated,1.0,1.0,65,102,,,2.0
TMEM17,VAMP3,Ciliated,1.0,1.0,62,99,,,2.0
TMEM17,VAMP4,Ciliated,1.0,1.0,6,11,,,2.0
TMEM17,VAMP7,Ciliated,1.0,1.0,15,26,,,2.0
TMEM17,VAMP8,Ciliated,1.0,1.0,11,17,,,2.0
TMEM17,VANGL1,Ciliated,1.0,1.0,96,157,,,2.0
TMEM17,VANGL2,Ciliated,1.0,1.0,35,57,,,2.0
TMEM17,VEZT,Ciliated,1.0,1.0,31,52,,,2.0
TMEM17,VKORC1L1,Ciliated,0.93,0.93,2,4,,,2.0
TMEM17,VMA21,Ciliated,1.0,1.0,6,12,,,2.0
TMEM17,VPS45,Ciliated,1.0,1.0,31,59,,,2.0
TMEM17,VRK2,Ciliated,1.0,1.0,17,31,,,2.0
TMEM17,WASF2,Ciliated,0.96,0.99,3,5,,,2.0
TMEM17,WDR11,Ciliated,1.0,1.0,77,132,,,2.0
TMEM17,WDR20,Ciliated,0.99,1.0,6,9,,,2.0
TMEM17,WDR41,Ciliated,1.0,1.0,18,26,,,2.0
TMEM17,WDR6,Ciliated,1.0,1.0,30,45,,,2.0
TMEM17,WDR77,Ciliated,0.96,0.99,3,5,,,2.0
TMEM17,YIF1A,Ciliated,1.0,1.0,6,10,,,2.0
TMEM17,YKT6,Ciliated,1.0,1.0,95,168,,,2.0
TMEM17,YWHAH,Ciliated,1.0,1.0,12,21,,,2.0
TMEM17,ZC3HAV1,Ciliated,0.99,1.0,33,58,,,2.0
TMEM17,ZDHHC20,Ciliated,1.0,1.0,5,9,,,2.0
TMEM17,ZDHHC5,Ciliated,1.0,1.0,14,27,,,2.0
TMEM216,ACBD3,Ciliated,1.0,1.0,133,227,,,2.0
TMEM216,ACSL3,Ciliated,1.0,1.0,19,36,,,2.0
TMEM216,AGPAT1,Ciliated,0.96,0.99,3,5,,,2.0
TMEM216,AGPAT6,Ciliated,1.0,1.0,7,13,,,2.0
TMEM216,AGPAT9,Ciliated,1.0,1.0,7,11,,,2.0
TMEM216,ALG9,Ciliated,0.96,0.99,3,5,,,2.0
TMEM216,ANKLE2,Ciliated,1.0,1.0,31,40,,,2.0
TMEM216,ANO10,Ciliated,1.0,1.0,5,10,,,2.0
TMEM216,ANO6,Ciliated,1.0,1.0,7,13,,,2.0
TMEM216,ARFGAP3,Ciliated,0.96,1.0,14,16,,,2.0
TMEM216,ARHGAP1,Ciliated,0.98,1.0,19,29,,,2.0
TMEM216,ARL6IP5,Ciliated,1.0,1.0,13,22,,,2.0
TMEM216,ATP6AP1,Ciliated,1.0,1.0,13,20,,,2.0
TMEM216,ATP6AP2,Ciliated,1.0,1.0,34,46,,,2.0
TMEM216,AUP1,Ciliated,0.99,1.0,22,25,,,2.0
TMEM216,BCAP31,Ciliated,1.0,1.0,14,22,,,2.0
TMEM216,BET1,Ciliated,1.0,1.0,25,38,,,2.0
TMEM216,BET1L,Ciliated,1.0,1.0,9,13,,,2.0
TMEM216,CAMLG,Ciliated,1.0,1.0,26,37,,,2.0
TMEM216,CCDC47,Ciliated,1.0,1.0,42,82,,,2.0
TMEM216,CD99,Ciliated,1.0,1.0,18,23,,,2.0
TMEM216,CD99L2,Ciliated,1.0,1.0,12,23,,,2.0
TMEM216,CDCA3,Ciliated,1.0,1.0,11,15,,,2.0
TMEM216,CDKAL1,Ciliated,1.0,1.0,21,38,,,2.0
TMEM216,CERS2,Ciliated,0.96,0.99,3,5,,,2.0
TMEM216,CHP1,Ciliated,0.96,1.0,4,6,,,2.0
TMEM216,CISD2,Ciliated,1.0,1.0,18,33,,,2.0
TMEM216,CKAP4,Ciliated,1.0,1.0,96,128,,,2.0
TMEM216,CLCC1,Ciliated,1.0,1.0,17,28,,,2.0
TMEM216,CLCN7,Ciliated,0.99,1.0,6,9,,,2.0
TMEM216,EMC8,Ciliated,1.0,1.0,6,12,,,2.0
TMEM216,CPD,Ciliated,1.0,1.0,39,77,,,2.0
TMEM216,CTNND1,Ciliated,0.94,0.99,8,13,,,2.0
TMEM216,CXADR,Ciliated,1.0,1.0,15,21,,,2.0
TMEM216,CYB5B,Ciliated,0.93,0.93,2,4,,,2.0
TMEM216,DDRGK1,Ciliated,1.0,1.0,21,30,,,2.0
TMEM216,DHRS7,Ciliated,1.0,1.0,53,70,,,2.0
TMEM216,DNAJC1,Ciliated,0.96,1.0,4,6,,,2.0
TMEM216,EFNB1,Ciliated,1.0,1.0,32,40,,,2.0
TMEM216,EFNB2,Ciliated,1.0,1.0,16,21,,,2.0
TMEM216,EIF2AK3,Ciliated,0.96,1.0,4,6,,,2.0
TMEM216,EMD,Ciliated,1.0,1.0,231,336,,,2.0
TMEM216,ESYT1,Ciliated,1.0,1.0,169,250,,,2.0
TMEM216,FAM91A1,Ciliated,0.97,1.0,32,43,,,2.0
TMEM216,GBA2,Ciliated,0.93,0.93,2,4,,,2.0
TMEM216,GOLGA3,Ciliated,0.93,0.93,2,4,,,2.0
TMEM216,GOLGA5,Ciliated,1.0,1.0,136,245,,,2.0
TMEM216,GOLT1B,Ciliated,0.93,0.93,2,4,,,2.0
TMEM216,GOPC,Ciliated,1.0,1.0,15,29,,,2.0
TMEM216,GORASP2,Ciliated,1.0,1.0,44,86,,,2.0
TMEM216,GOSR1,Ciliated,1.0,1.0,14,27,,,2.0
TMEM216,GPR107,Ciliated,1.0,1.0,11,21,,,2.0
TMEM216,GPR89A,Ciliated,0.96,1.0,6,8,,,2.0
TMEM216,HMOX2,Ciliated,1.0,1.0,53,96,,,2.0
TMEM216,IGF2R,Ciliated,0.99,1.0,14,17,,,2.0
TMEM216,ITGB1,Ciliated,1.0,1.0,32,62,,,2.0
TMEM216,ITM2C,Ciliated,0.93,0.93,2,4,,,2.0
TMEM216,JAGN1,Ciliated,1.0,1.0,4,8,,,2.0
TMEM216,JPH1,Ciliated,0.96,1.0,4,6,,,2.0
TMEM216,EMC1,Ciliated,1.0,1.0,17,31,,,2.0
TMEM216,KIAA1715,Ciliated,1.0,1.0,13,18,,,2.0
TMEM216,KTN1,Ciliated,0.96,1.0,14,16,,,2.0
TMEM216,LBR,Ciliated,1.0,1.0,204,343,,,2.0
TMEM216,LEMD3,Ciliated,1.0,1.0,153,262,,,2.0
TMEM216,LMAN1,Ciliated,1.0,1.0,17,32,,,2.0
TMEM216,LOC100506055,Ciliated,0.89,0.92,10,18,,,2.0
TMEM216,LPCAT1,Ciliated,0.96,0.99,3,5,,,2.0
TMEM216,LRRC59,Ciliated,0.97,1.0,31,49,,,2.0
TMEM216,LSR,Ciliated,1.0,1.0,17,31,,,2.0
TMEM216,LYSMD3,Ciliated,0.99,1.0,5,8,,,2.0
TMEM216,MARCKSL1,Ciliated,0.96,0.99,3,5,,,2.0
TMEM216,MCAM,Ciliated,1.0,1.0,14,27,,,2.0
TMEM216,MMGT1,Ciliated,1.0,1.0,8,15,,,2.0
TMEM216,MTDH,Ciliated,1.0,1.0,77,121,,,2.0
TMEM216,NCOA2,Ciliated,1.0,1.0,21,40,,,2.0
TMEM216,NSDHL,Ciliated,0.94,0.97,8,15,,,2.0
TMEM216,NUP155,Ciliated,1.0,1.0,38,61,,,2.0
TMEM216,NUP35,Ciliated,1.0,1.0,6,10,,,2.0
TMEM216,OCLN,Ciliated,1.0,1.0,125,186,,,2.0
TMEM216,OSBP,Ciliated,0.96,1.0,4,6,,,2.0
TMEM216,OSBPL8,Ciliated,1.0,1.0,31,51,,,2.0
TMEM216,PDCL,Ciliated,0.99,0.99,3,6,,,2.0
TMEM216,PDXDC1,Ciliated,1.0,1.0,47,83,,,2.0
TMEM216,PDZD8,Ciliated,1.0,1.0,20,28,,,2.0
TMEM216,PGRMC2,Ciliated,1.0,1.0,148,286,,,2.0
TMEM216,POR,Ciliated,1.0,1.0,20,27,,,2.0
TMEM216,PREB,Ciliated,1.0,1.0,95,149,,,2.0
TMEM216,PTPN1,Ciliated,1.0,1.0,61,98,,,2.0
TMEM216,PVRL2,Ciliated,1.0,1.0,17,29,,,2.0
TMEM216,RAB7A,Ciliated,1.0,1.0,24,44,,,2.0
TMEM216,RABL3,Ciliated,1.0,1.0,8,14,,,2.0
TMEM216,RELL1,Ciliated,1.0,1.0,12,22,,,2.0
TMEM216,RER1,Ciliated,0.98,0.99,8,15,,,2.0
TMEM216,RHBDD2,Ciliated,0.96,1.0,4,6,,,2.0
TMEM216,ROR2,Ciliated,0.96,1.0,4,6,,,2.0
TMEM216,RTN4,Ciliated,1.0,1.0,73,120,,,2.0
TMEM216,SCAMP1,Ciliated,1.0,1.0,39,58,,,2.0
TMEM216,SCFD1,Ciliated,1.0,1.0,7,12,,,2.0
TMEM216,SCYL3,Ciliated,1.0,1.0,14,21,,,2.0
TMEM216,SEC11A,Ciliated,1.0,1.0,8,13,,,2.0
TMEM216,SEC22B,Ciliated,1.0,1.0,34,56,,,2.0
TMEM216,SEC24B,Ciliated,1.0,1.0,8,12,,,2.0
